Epoch,Train Accuracy %,Train Loss,,Average Accuracy,Average Train Loss
275,"27,11","2,7981",,,
295,"27,11","2,6074",,,
505,"26,51","5,2588",,,
1050,"26,51","4,0674",,,
1460,"26,51","3,809",,,
1205,"26,51","3,4585",,,
945,"26,51","3,4077",,,
2245,"26,51","3,1412",,,
520,"26,51","2,8568",,,
1020,"26,51","2,4715",,,
1950,"25,9","5,0097",,,
935,"25,9","4,6201",,,
385,"25,9","3,3974",,,
1125,"25,9","2,8416",,,
405,"25,9","2,8228",,,
805,"25,9","2,6265",,,
815,"25,3","4,0442",,,
420,"25,3","3,936",,,
1130,"25,3","2,9412",,,
325,"24,7","4,4068",,,
1070,"24,7","4,1784",,,
475,"24,7","3,7792",,,
565,"24,7","2,8901",,,
675,"24,1","3,6927",,,
725,"24,1","3,6172",,,
410,"24,1","3,2951",,,
975,"24,1","2,7526",,,
1120,"24,1","1,9634",,,
990,"23,49","5,3199",,,
440,"23,49","5,07",,,
1135,"23,49","4,1998",,,
1870,"23,49","3,9653",,,
485,"23,49","3,6227",,,
585,"23,49","3,5527",,,
415,"23,49","3,39",,,
1170,"23,49","3,1608",,,
595,"23,49","3,048",,,
525,"22,89","4,0821",,,
820,"22,89","3,8403",,,
510,"22,89","3,7172",,,
580,"22,89","3,6534",,,
540,"22,89","3,569",,,
535,"22,89","3,2648",,,
550,"22,29","4,0827",,,
425,"22,29","4,0714",,,
1295,"22,29","3,8726",,,
1690,"22,29","3,808",,,
625,"22,29","3,1633",,,
395,"21,69","4,6627",,,
1480,"21,69","3,4883",,,
435,"21,69","3,289",,,
1005,"21,69","3,287",,,
955,"21,69","3,2801",,,
515,"21,69","2,9712",,,
500,"21,69","2,7645",,,
1455,"21,69","2,7396",,,
2255,"21,69","2,6039",,,
1110,"21,69","2,4256",,,
1200,"21,08","4,4477",,,
940,"21,08","3,751",,,
715,"21,08","2,9206",,,
760,"21,08","2,6124",,,
590,"21,08","2,6025",,,
1035,"21,08","2,5226",,,
1435,"21,08","1,8944",,,
570,"21,08","1,753",,,
1190,"20,48","4,3077",,,
750,"20,48","3,7167",,,
1695,"20,48","3,37",,,
1220,"20,48","3,3557",,,
1830,"20,48","2,5892",,,
785,"19,88","4,4643",,,
2555,"19,88","3,912",,,
1350,"19,88","3,8778",,,
1015,"19,88","3,1693",,,
2230,"19,88","2,8983",,,
1280,"19,88","2,7574",,,
1335,"19,88","2,145",,,
1210,"19,28","4,8508",,,
600,"19,28","4,6039",,,
400,"19,28","4,1525",,,
1490,"19,28","3,4327",,,
640,"19,28","3,0801",,,
1645,"19,28","2,8264",,,
430,"19,28","2,5132",,,
635,"19,28","2,0667",,,
1570,"18,67","4,8186",,,
1880,"18,67","4,2095",,,
1575,"18,67","4,0491",,,
1545,"18,67","3,9851",,,
1765,"18,67","3,9143",,,
630,"18,67","3,9113",,,
1465,"18,67","3,7257",,,
1090,"18,67","3,7024",,,
1380,"18,67","3,5533",,,
1475,"18,67","3,3681",,,
1785,"18,67","3,1232",,,
1485,"18,67","2,9144",,,
695,"18,67","2,7891",,,
1630,"18,67","2,7482",,,
925,"18,67","2,3479",,,
1245,"18,67","2,2186",,,
2685,"18,67","2,0535",,,
1305,"18,67","1,9674",,,
1195,"18,67","1,9536",,,
650,"18,07","3,9721",,,
965,"18,07","3,81",,,
755,"18,07","2,944",,,
1250,"18,07","2,8178",,,
705,"18,07","2,7894",,,
670,"18,07","2,7267",,,
2290,"17,47","4,6938",,,
1265,"17,47","4,5896",,,
1800,"17,47","4,3849",,,
2675,"17,47","3,925",,,
480,"17,47","3,8922",,,
1500,"17,47","3,7281",,,
1675,"17,47","3,1108",,,
555,"17,47","2,9917",,,
1555,"16,87","4,3849",,,
1925,"16,87","3,9617",,,
2945,"16,87","3,9171",,,
655,"16,87","3,6981",,,
950,"16,87","3,3042",,,
